PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
71;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Goulais River;44;0.0648;Population;1;;13;NA;0.56;NA;NA;46.721611;-84.383181;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
72;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Grasse River;38;0.129;Population;1;;13;NA;0.56;NA;2.76;44.961592;-74.810886;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
73;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Kaministiquia River;85;0.1129;Population;1;;13;NA;0.56;NA;NA;48.361201;-89.27674;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
74;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Lake Champlain;37;0.0948;Population;1;;13;NA;0.56;NA;NA;44.554817;-73.383541;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
75;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Lake Nipissing;77;0.074;Population;1;;13;NA;0.56;NA;NA;46.266608;-79.746565;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
76;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Mississaugi River;96;0.0652;Population;1;;13;NA;0.56;NA;NA;46.191417;-83.030633;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
77;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Spanish River;51;0.0948;Population;1;;13;NA;0.56;NA;NA;46.267841;-81.754241;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
78;R10;2008;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Wolf River;30;0.0824;Population;1;;13;NA;0.56;NA;NA;44.378637;-88.601136;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
79;R11;2002;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;USA;Pearl;30;0.231;Population;1;;1;NA;NA;3.9;NA;30.230051;-89.617367;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
80;R12;2010;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Holden Lake+ Allumette Lake +Muskrat River +Lac Coulonge +Lac du Rocher Fendu +Cheneux +Lac Deschenes +Lac Dollard des Ormeaux;240;0.0168;Population;8;Middle;2;0.55;0.6;4.178;3.335;45.8833;-77.2167;14;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
81;R12;2010;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Mattagami;43;0.0822;Population;1;;2;0.514;0.522;3.57;2.85;50.7281;-81.4872;14;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
82;R13;2007;Freshwater;Acipenseridae;Scaphirhynchus;suttkusi;Scaphirhynchus_suttkusi;Alabama sturgeon;NAm;USA;Alabama;6;0.3778;Population;1;;5;0.359;0.564;2.077;NA;31.262673;-87.831498;13;3;35;31;22462540173;22462540.17;;;;;;;;;;;;;;
83;R13;2007;Freshwater;Acipenseridae;Scaphirhynchus;albus;Scaphirhynchus_albus;Intermediate sturgeon spp;NAm;USA;Intermediates;21;0.1115;Population;1;;5;0.662;0.702;6.769;NA;37.94871;-89.903417;13;20;49;29;1.20867E+11;120866654.7;;;;;;;;;;;;;;
